ID,Floor,Hazard,Hazard Seq,additional,Information,Roomnumber,X,Y,Lag,Long,Connect
0,2,Entrance,0,00,Room,2006,0,0,22.211006,113.55492,1
1,2,Straight,00,00,Room,2006,0,-1,22.211006,113.55492,0;2
2,2,Straight,00,00,Room,2006,0,-2,22.211006,113.55492,1;3
3,2,Straight,00,00,Room,2006,0,-3,22.211006,113.55492,2;4
4,2,Straight,00,00,Room,2006,0,-4,22.211006,113.55492,3;5
5,2,Straight,00,00,Room,2006,0,-5,22.211006,113.55492,4;6
6,2,Crossroad,0,00,Room,2006,1,-5,22.211006,113.55492,5;7
7,2,Straight,00,00,Room,2006,2,-5,22.211006,113.55492,6;8
8,2,Straight,00,00,Room,2006,3,-5,22.211006,113.55492,7;9
9,2,Entrance,1,00,Room,2006,4,-5,22.211006,113.55492,8;10
10,2,Entrance,2,00,Room,2006,5,-5,22.211006,113.55492,9;11
11,2,Straight,00,00,Room,2006,6,-5,22.211006,113.55492,10;12
12,2,Crossroad,1,00,Room,2006,7,-5,22.211006,113.55492,11;13;16
13,2,Straight,00,00,Room,2006,7,-6,22.211006,113.55492,12;14
14,2,Straight,00,00,Room,2006,7,-7,22.211006,113.55492,13;15
15,2,Entrance,3,00,Room,2006,7,-8,22.211006,113.55492,14
16,2,Straight,00,00,Room,2006,8,-5,22.211006,113.55492,12;17
17,2,Straight,00,00,Room,2006,9,-5,22.211006,113.55492,16;18
18,2,Straight,00,00,Room,2006,10,-5,22.211006,113.55492,17;19
19,2,Straight,00,00,Room,2006,11,-5,22.211006,113.55492,18;20
20,2,Straight,00,00,Room,2006,12,-5,22.211006,113.55492,19;21
21,2,Straight,00,00,Room,2006,13,-5,22.211006,113.55492,20;22
22,2,Straight,00,00,Room,2006,14,-5,22.211006,113.55492,21;23
23,2,Straight,00,00,Room,2006,15,-5,22.211006,113.55492,22;24
24,2,Straight,00,00,Room,2006,16,-5,22.211006,113.55492,23;25
25,2,Straight,00,00,Room,2006,17,-5,22.211006,113.55492,24;26
26,2,Straight,00,00,Room,2006,18,-5,22.211006,113.55492,25;27
27,2,Straight,00,00,Room,2006,19,-5,22.211006,113.55492,26;28
28,2,Straight,00,00,Room,2006,20,-5,22.211006,113.55492,27;29
29,2,Crossroad,2,00,Room,2006,21,-5,22.211006,113.55492,28;30;33
30,2,Straight,00,00,Room,2006,21,-6,22.211006,113.55492,29;31
31,2,Straight,00,00,Room,2006,21,-7,22.211006,113.55492,30;32
32,2,Entrance,4,00,Room,2006,21,-8,22.211006,113.55492,31
33,2,Straight,00,00,Room,2006,22,-5,22.211006,113.55492,29;34
34,2,Straight,00,00,Room,2006,23,-5,22.211006,113.55492,33;35
35,2,Straight,00,00,Room,2006,24,-5,22.211006,113.55492,34;36
36,2,Straight,00,00,Room,2006,25,-5,22.211006,113.55492,35;37
37,2,Straight,00,00,Room,2006,26,-5,22.211006,113.55492,36;38
38,2,Crossroad,3,00,Room,2006,27,-5,22.211006,113.55492,37;39;42
39,2,Straight,00,00,Room,2006,27,-6,22.211006,113.55492,38;40
40,2,Straight,00,00,Room,2006,27,-7,22.211006,113.55492,39;41
41,2,Entrance,5,00,Room,2006,27,-8,22.211006,113.55492,40
42,2,Straight,00,00,Room,2006,28,-5,22.211006,113.55492,38;43
43,2,Straight,00,00,Room,2006,29,-5,22.211006,113.55492,42;44
44,2,Straight,00,00,Room,2006,30,-5,22.211006,113.55492,43;45
45,2,Straight,00,00,Room,2006,31,-5,22.211006,113.55492,44;46
46,2,Straight,00,00,Room,2006,32,-5,22.211006,113.55492,45;47
47,2,Straight,00,00,Room,2006,33,-5,22.211006,113.55492,46;48
48,2,Straight,00,00,Room,2006,34,-5,22.211006,113.55492,47;49
49,2,Straight,00,00,Room,2006,35,-5,22.211006,113.55492,48;50
50,2,Straight,00,00,Room,2006,36,-5,22.211006,113.55492,49;51
51,2,Straight,00,00,Room,2006,37,-5,22.211006,113.55492,50;52
52,2,Straight,00,00,Room,2006,38,-5,22.211006,113.55492,51;53
53,2,Straight,00,00,Room,2006,39,-5,22.211006,113.55492,52;54
54,2,Straight,00,00,Room,2006,40,-5,22.211006,113.55492,53;55
55,2,Crossroad,4,00,Room,2006,41,-5,22.211006,113.55492,54;56
56,2,Straight,00,00,Room,2006,41,-6,22.211006,113.55492,55;57
57,2,Straight,00,00,Room,2006,41,-7,22.211006,113.55492,56;58
58,2,Entrance,6,00,Room,2006,41,-8,22.211006,113.55492,57
59,2,straight,,,,,,,,,
60,2,straight,,,,,,,,,
61,2,straight,,,,,,,,,
62,2,straight,,,,,,,,,
63,2,straight,,,,,,,,,
64,2,crossroad,,,,,,,,,
65,2,straight,,,,,,,,,
66,2,straight,,,,,,,,,
67,2,Entrance,,,,,,,,,
68,2,straight,,,,,,,,,
69,2,straight,,,,,,,,,
70,2,straight,,,,,,,,,
71,2,straight,,,,,,,,,
72,2,straight,,,,,,,,,
73,2,straight,,,,,,,,,
74,2,straight,,,,,,,,,
75,2,crossroad,,,,,,,,,
76,2,straight,,,,,,,,,
77,2,straight,,,,,,,,,
78,,straight,,,,,,,,,
79,,straight,,,,,,,,,
80,,straight,,,,,,,,,
81,,crossroad,,,,,,,,,
82,,straight,,,,,,,,,
83,,straight,,,,,,,,,
84,,straight,,,,,,,,,
85,,straight,,,,,,,,,
86,,straight,,,,,,,,,
87,,straight,,,,,,,,,
88,,straight,,,,,,,,,
89,,straight,,,,,,,,,
90,,straight,,,,,,,,,
91,,straight,,,,,,,,,
92,,Entrance,,,,,,,,,
93,,straight,,,,,,,,,
94,,straight,,,,,,,,,
95,,straight,,,,,,,,,
96,,straight,,,,,,,,,
97,,straight,,,,,,,,,
98,,straight,,,,,,,,,
99,,straight,,,,,,,,,
100,,straight,,,,,,,,,
101,,straight,,,,,,,,,
102,,straight,,,,,,,,,
103,,straight,,,,,,,,,
104,,straight,,,,,,,,,
105,,straight,,,,,,,,,
106,,straight,,,,,,,,,
107,,straight,,,,,,,,,
108,,straight,,,,,,,,,
109,,straight,,,,,,,,,
110,,straight,,,,,,,,,
111,,straight,,,,,,,,,
112,,straight,,,,,,,,,
113,,straight,,,,,,,,,
114,,straight,,,,,,,,,
115,,straight,,,,,,,,,
116,,straight,,,,,,,,,
117,,straight,,,,,,,,,
118,,Entrance,,,,,,,,,
119,,straight,,,,,,,,,
120,,straight,,,,,,,,,
121,,straight,,,,,,,,,
122,,straight,,,,,,,,,
123,,,,,,,,,,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,,,,,,,,,,,
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,,,,
130,,,,,,,,,,,
131,,,,,,,,,,,
132,,,,,,,,,,,
133,,,,,,,,,,,
134,,,,,,,,,,,
135,,,,,,,,,,,
136,,,,,,,,,,,
137,,,,,,,,,,,
138,,,,,,,,,,,
139,,,,,,,,,,,
140,,,,,,,,,,,
141,,,,,,,,,,,
142,,,,,,,,,,,
143,,,,,,,,,,,
144,,,,,,,,,,,
145,,,,,,,,,,,
146,,,,,,,,,,,
147,,,,,,,,,,,
148,,,,,,,,,,,
149,,,,,,,,,,,
150,,,,,,,,,,,
151,,,,,,,,,,,
152,,,,,,,,,,,
153,,,,,,,,,,,
154,,,,,,,,,,,
155,,,,,,,,,,,
156,,,,,,,,,,,
157,,,,,,,,,,,
